"caudate","thalamus","putamen","pallidum","bilateral_hippocampus","amygdala","accumbens.area","VentralDC","Left.Lateral.Ventricle","Right.Lateral.Ventricle","ICV"
8325.8,16656.7,10378.5,4364.2,9581.2,3815.7,1108.2,9477.9,10608.7,11430.6,1909860.335
6993.2,15159.1,9425.4,3848.9,7592.3,3163.9,1143,8313,9217.2,7946.4,1731249.674
6097.9,12274.4,8031.9,3006.1,7406.7,2737.9,925,7607.4,22259.3,25207.7,1641113.122
5696.5,12565.1,7259.9,2850,7070.2,2627.3,827.8,7445.2,9072.3,8482.1,1345252.852
7015.2,15311.3,10277.2,3764.9,8749.4,2991.3,1197.2,8860,5859.1,4444,1489504.639
7614.9,13582.9,10132.9,4814.8,8538.1,2948.1,1081.5,8010.8,17569,14707.4,1696845.965
7086.4,13110.4,8592.8,3298,7618.7,2582.7,756.7,7569.5,9984.6,8902,1504671.266
8468.6,16125.7,11067.1,3745,8904.5,3555.5,1309.9,9151.5,14392.1,9399.8,1703117.654
6511.6,13322.2,9097.8,3222.2,8792.8,2612.1,1091.2,7573.1,11473.2,7118.9,1268368.451
5754.9,10750.3,6931.2,3105.5,6684.2,2831,733.7,6123.8,15134.1,11538.7,1415899.29
7706.5,14003.4,9571,3561,8650.8,3074.8,1107.7,9348.8,7668.7,10039,1603272.098
6110.8,14353.2,8516.6,3858.3,7908.9,3154.5,1051.1,8685.4,6375,5120.9,1448263.949
6244.8,10591.6,7471.3,2131.9,6967.1,2261,618.6,6684,13088.9,12439.9,1363627.286
7100.4,14573.3,9013.8,3802,7808.7,2910.1,980.9,7682.4,8182.2,9031.9,1545008.762
6480.9,13682.3,8306,3577,6762.8,2498.8,943.3,7577.3,22188.8,19577,1676708.572
6988.3,12964.3,8712.2,3279.2,7700.1,2984.2,938.6,7178.3,4527.6,4464,1406367.867
5903.7,13236.1,9121.5,3483.6,7965.5,2913.9,920.1,7639.1,4663.3,4358.1,1110393.646
6462.8,12489.6,8562,3451.5,7862.8,2865.8,914.9,7908.6,9323.3,9671.4,1625696.146
6433,13883.1,9995.1,3546,8008.8,3403.6,1039.4,7907.6,11202.6,9619.4,1574792.369
