"VOI","Beta"
"caudate",0.537925426378772
"thalamus",0.484190875511638
"putamen",0.456484060689941
"pallidum",0.486102939313055
"bilateral_hippocampus",0.439444830473537
"amygdala",0.476311012831926
"accumbens.area",0.364602699176183
"VentralDC",0.504345526739624
"Left.Lateral.Ventricle",0.928163514735294
"Right.Lateral.Ventricle",1.10898306568676
